time,open,high,low,close,volume
2026-07-15 18:02:02.916,29707.75,29732.75,29698,29732.75,2664
2026-07-15 18:02:17.692,29732.75,29739,29714,29739,398
2026-07-15 18:06:11.592,29739,29745.25,29720.25,29745.25,3186
2026-07-15 18:36:07.920,29745.25,29749,29701.5,29701.5,14444
2026-07-15 18:36:17.136,29701.5,29720.25,29695.25,29695.25,470
2026-07-15 18:38:45.672,29695.25,29714,29689,29689,1929
2026-07-15 18:49:25.836,29689,29707.75,29682.75,29682.75,5255
2026-07-15 19:00:42.244,29682.75,29726.5,29677.75,29726.5,12640
2026-07-15 19:12:21.208,29726.5,29732.75,29707.75,29732.75,6143
2026-07-15 19:49:57.752,29732.75,29737,29689,29689,23697
2026-07-15 19:59:17.344,29689,29707.75,29682.75,29682.75,5759
2026-07-15 20:02:09.264,29682.75,29726.5,29682.25,29726.5,5007
2026-07-15 20:02:13.572,29726.5,29732.75,29707.75,29732.75,360
2026-07-15 20:02:44.920,29732.75,29739,29714,29739,1170
2026-07-15 20:05:03.080,29739,29745.25,29720.25,29745.25,4638
2026-07-15 20:13:52.404,29745.25,29751.5,29719.75,29751.5,10603
2026-07-15 20:15:02.864,29751.5,29757.75,29732.75,29757.75,2740
2026-07-15 20:15:13.484,29757.75,29764,29739,29764,736
2026-07-15 20:16:31.584,29764,29765.25,29720.25,29720.25,3619
2026-07-15 20:16:37.340,29720.25,29739,29714,29714,438
2026-07-15 20:18:31.740,29714,29732.75,29707.75,29707.75,2674
2026-07-15 20:19:14.676,29707.75,29726.5,29701.5,29701.5,970
2026-07-15 20:19:43.012,29701.5,29720.25,29695.25,29695.25,617
2026-07-15 20:20:03.908,29695.25,29714,29689,29689,827
2026-07-15 20:26:55.492,29689,29707.75,29682.75,29682.75,8480
2026-07-15 20:26:56.508,29682.75,29701.5,29670.25,29676.5,803
2026-07-15 20:27:12.976,29676.5,29695.25,29670.25,29670.25,845
2026-07-15 20:27:38.816,29670.25,29689,29664,29664,1159
2026-07-15 20:30:16.272,29664,29686.75,29657.75,29657.75,4514
2026-07-15 20:39:12.896,29657.75,29696.25,29651.5,29651.5,13194
2026-07-15 20:40:28.516,29651.5,29670.25,29645.25,29645.25,1668
2026-07-15 20:42:10.136,29645.25,29664,29639,29639,2066
2026-07-15 20:42:58.392,29639,29657.75,29632.75,29632.75,974
2026-07-15 20:44:59.764,29632.75,29651.5,29626.5,29626.5,2394
2026-07-15 20:52:34.252,29626.5,29670.25,29622.25,29670.25,10766
2026-07-15 20:52:37.260,29670.25,29676.5,29651.5,29676.5,282
2026-07-15 21:01:46.504,29676.5,29679.75,29632.75,29632.75,11770
2026-07-15 21:12:32.068,29632.75,29669,29626.5,29626.5,11320
2026-07-15 21:13:06.532,29626.5,29645.25,29620.25,29620.25,858
2026-07-15 21:16:15.252,29620.25,29639,29614,29614,4235
2026-07-15 21:18:02.756,29614,29632.75,29607.75,29607.75,2054
2026-07-15 21:30:09.024,29607.75,29629,29601.5,29601.5,11316
2026-07-15 21:34:06.980,29601.5,29620.25,29595.25,29595.25,4509
2026-07-15 21:39:43.856,29595.25,29639,29593.5,29639,7204
2026-07-15 21:41:42.272,29639,29645.25,29620.25,29645.25,1948
2026-07-15 21:47:15.660,29645.25,29651.5,29607.75,29651.5,6254
2026-07-15 21:48:36.936,29651.5,29657.75,29632.75,29657.75,1557
2026-07-15 21:49:02.484,29657.75,29664,29639,29664,816
2026-07-15 21:49:21.496,29664,29670.25,29645.25,29670.25,785
2026-07-15 21:49:51.620,29670.25,29676.5,29651.5,29676.5,921
2026-07-15 21:50:13.480,29676.5,29682.75,29657.75,29682.75,1102
2026-07-15 22:01:30.148,29682.75,29686.5,29639,29639,12591
2026-07-15 22:01:48.236,29639,29657.75,29632.75,29632.75,490
2026-07-15 22:02:13.672,29632.75,29651.5,29626.5,29626.5,650
2026-07-15 22:10:05.916,29626.5,29645.25,29620.25,29620.25,5944
2026-07-15 22:19:45.244,29620.25,29664,29620,29664,8771
2026-07-15 22:20:37.276,29664,29670.25,29645.25,29670.25,877
2026-07-15 22:22:31.408,29670.25,29676.5,29651.5,29676.5,1312
2026-07-15 22:23:29.488,29676.5,29682.75,29657.75,29682.75,837
2026-07-15 22:23:52.120,29682.75,29689,29664,29689,634
2026-07-15 22:24:54.564,29689,29695.25,29670.25,29695.25,1422
2026-07-15 22:26:27.904,29695.25,29701.5,29676.5,29701.5,1587
2026-07-15 22:49:22.188,29701.5,29707.75,29672,29707.75,16481
2026-07-15 22:49:25.752,29707.75,29714,29689,29714,434
2026-07-15 22:54:02.032,29714,29720.25,29695.25,29720.25,4222
2026-07-15 22:55:58.992,29720.25,29726.5,29701.5,29726.5,1790
2026-07-15 22:58:56.456,29726.5,29732.75,29707.75,29732.75,1693
2026-07-15 23:05:47.092,29732.75,29739,29714,29739,5211
2026-07-15 23:06:04.400,29739,29745.25,29720.25,29745.25,743
2026-07-15 23:11:27.020,29745.25,29751.5,29726.5,29751.5,3462
2026-07-15 23:45:39.796,29751.5,29752.5,29707.75,29707.75,20514
2026-07-16 00:14:09.952,29707.75,29751.5,29705.75,29751.5,14863
2026-07-16 00:37:04.204,29751.5,29756,29707.75,29707.75,10053
2026-07-16 00:40:20.728,29707.75,29726.5,29701.5,29701.5,1343
2026-07-16 01:14:19.604,29701.5,29745.25,29695.75,29745.25,16336
2026-07-16 01:15:12.000,29745.25,29751.5,29726.5,29751.5,617
2026-07-16 01:15:21.952,29751.5,29757.75,29732.75,29757.75,408
2026-07-16 01:15:24.036,29757.75,29764,29739,29764,369
2026-07-16 01:25:26.664,29764,29771.25,29739.25,29770.25,7589
2026-07-16 01:30:09.760,29770.25,29776.5,29751.5,29776.5,3795
2026-07-16 01:30:10.764,29776.5,29795,29757.75,29789,1037
2026-07-16 01:30:18.616,29789,29795.25,29770.25,29795.25,578
2026-07-16 01:32:16.104,29795.25,29796.5,29751.5,29751.5,2718
2026-07-16 01:32:32.860,29751.5,29770.25,29745.25,29745.25,407
2026-07-16 01:33:32.488,29745.25,29764,29739,29739,1091
2026-07-16 01:33:42.636,29739,29757.75,29732.75,29732.75,399
2026-07-16 01:34:07.888,29732.75,29751.5,29726.5,29726.5,510
2026-07-16 01:34:10.328,29726.5,29745.25,29718.75,29720.25,466
2026-07-16 01:34:16.188,29720.25,29739,29714,29714,254
2026-07-16 01:35:00.492,29714,29732.75,29707.75,29707.75,1137
2026-07-16 01:35:07.868,29707.75,29726.5,29701.5,29701.5,386
2026-07-16 01:35:11.440,29701.5,29720.25,29695.25,29695.25,335
2026-07-16 01:35:14.556,29695.25,29714,29689,29689,371
2026-07-16 01:35:46.172,29689,29707.75,29682.75,29682.75,1250
2026-07-16 01:35:55.648,29682.75,29701.5,29676.5,29676.5,357
2026-07-16 01:36:07.860,29676.5,29695.25,29670.25,29670.25,744
2026-07-16 01:43:39.476,29670.25,29714,29667,29714,10060
2026-07-16 02:00:16.288,29714,29720.25,29678,29720.25,10937
2026-07-16 02:00:29.704,29720.25,29726.5,29701.5,29726.5,724
2026-07-16 02:05:48.716,29726.5,29730,29682.75,29682.75,6609
