time,open,high,low,close,volume,ko,pa,th,sj,su,nc
2026-04-30 18:00:00.032,27630,27630.75,27630,27630.75,138,0,0,0,0,0,0
2026-04-30 18:00:00.032,27616.5,27631.5,27616.5,27631.5,4,0,1,0,0,0,0
2026-04-30 18:00:00.032,27617.25,27632.25,27617.25,27632.25,2,0,0,0,0,0,0
2026-04-30 18:00:00.032,27618,27633,27618,27633,1,0,0,0,0,0,0
2026-04-30 18:00:00.032,27618.75,27633.75,27618.75,27633.75,6,0,0,0,0,0,0
2026-04-30 18:00:00.032,27619.5,27634.5,27619.5,27634.5,1,0,0,0,2,0,0
2026-04-30 18:00:00.032,27620.25,27635.25,27620.25,27635.25,2,0,0,0,0,0,0
2026-04-30 18:00:00.032,27621,27636,27621,27636,2,0,0,0,0,0,0
2026-04-30 18:00:00.032,27621.75,27636.75,27621.75,27636.75,0,0,0,0,0,0,0
2026-04-30 18:00:00.032,27622.5,27637.5,27622.5,27637.5,2,0,0,0,0,0,0
2026-04-30 18:00:00.032,27623.25,27638.25,27623.25,27638.25,1,0,0,1,0,0,0
2026-04-30 18:00:00.032,27624,27639,27624,27639,0,0,0,0,0,0,0
2026-04-30 18:00:00.032,27624.75,27639.75,27624.75,27639.75,0,0,0,0,0,0,0
2026-04-30 18:00:00.032,27625.5,27640.5,27625.5,27640.5,3,0,0,0,0,0,0
2026-04-30 18:00:00.032,27626.25,27641.25,27626.25,27641.25,1,0,0,0,0,0,0
2026-04-30 18:00:00.612,27627,27642,27627,27642,199,0,0,0,0,0,0
2026-04-30 18:00:00.612,27627.75,27642.75,27627.75,27642.75,0,0,0,0,0,0,0
2026-04-30 18:00:00.760,27628.5,27643.5,27628.5,27643.5,35,0,0,0,0,0,0
2026-04-30 18:00:00.768,27629.25,27644.25,27629.25,27644.25,11,0,0,0,0,0,0
2026-04-30 18:00:00.768,27630,27645,27630,27645,3,0,0,0,0,0,0
2026-04-30 18:00:00.896,27630.75,27645.75,27630.75,27645.75,14,0,0,0,0,0,0
2026-04-30 18:00:00.928,27631.5,27646.5,27631.5,27646.5,8,0,0,0,0,0,0
2026-04-30 18:00:00.956,27632.25,27647.25,27632.25,27647.25,21,0,0,0,0,0,0
2026-04-30 18:00:12.108,27633,27648,27618,27618,820,0,-1,0,0,0,0
2026-04-30 18:00:12.180,27632.25,27632.25,27617.25,27617.25,6,0,0,-1,0,0,0
2026-04-30 18:00:12.728,27631.5,27631.5,27616.5,27616.5,18,0,0,0,0,0,0
2026-04-30 18:00:19.864,27630.75,27630.75,27615.75,27615.75,362,0,0,0,0,0,0
2026-04-30 18:00:19.904,27630,27630,27615,27615,10,0,0,0,0,0,0
2026-04-30 18:00:19.904,27629.25,27629.25,27614.25,27614.25,1,0,0,0,0,0,0
2026-04-30 18:00:19.924,27628.5,27628.5,27613.5,27613.5,1,0,0,0,0,0,0
2026-04-30 18:00:19.924,27627.75,27627.75,27612.75,27612.75,6,0,0,0,0,0,0
2026-04-30 18:00:20.008,27627,27627,27612,27612,17,0,0,0,0,0,0
2026-04-30 18:02:23.744,27626.25,27631.5,27611.25,27611.25,2342,0,0,0,0,0,0
2026-04-30 18:02:23.744,27625.5,27625.5,27610.5,27610.5,21,0,0,0,-2,0,0
2026-04-30 18:03:07.120,27624.75,27624.75,27609.75,27609.75,664,0,0,0,0,0,0
2026-04-30 18:03:07.336,27624,27624,27609,27609,17,0,0,0,0,0,0
2026-04-30 18:03:07.336,27623.25,27623.25,27608.25,27608.25,8,0,0,0,0,0,0
2026-04-30 18:04:14.008,27622.5,27622.5,27607.5,27607.5,694,0,0,0,0,0,0
2026-04-30 18:04:14.008,27621.75,27621.75,27606.75,27606.75,9,0,0,0,0,0,0
2026-04-30 18:04:14.008,27621,27621,27606,27606,6,0,0,0,0,0,0
2026-04-30 18:04:14.416,27620.25,27620.25,27605.25,27605.25,12,0,0,0,0,0,0
2026-04-30 18:06:17.708,27619.5,27634.5,27605,27634.5,1800,0,0,0,0,0,0
2026-04-30 18:06:18.168,27620.25,27635.25,27620.25,27635.25,47,0,0,0,0,0,0
2026-04-30 18:06:18.168,27621,27636,27621,27636,7,0,0,0,0,0,0
2026-04-30 18:06:18.172,27621.75,27636.75,27621.75,27636.75,13,0,0,0,0,0,0
2026-04-30 18:06:22.980,27622.5,27637.5,27622.5,27637.5,175,0,0,0,0,0,0
2026-04-30 18:06:22.980,27623.25,27638.25,27623.25,27638.25,11,0,0,0,0,0,0
2026-04-30 18:06:22.980,27624,27639,27624,27639,15,0,0,0,0,0,0
2026-04-30 18:08:40.732,27624.75,27639.75,27624.75,27639.75,1584,0,0,1,0,0,0
2026-04-30 18:08:40.732,27625.5,27640.5,27625.5,27640.5,37,0,0,0,0,0,0
2026-04-30 18:08:40.832,27626.25,27641.25,27626.25,27641.25,55,0,0,0,0,0,0
2026-04-30 18:08:40.832,27627,27642,27627,27642,6,0,0,0,0,0,0
2026-04-30 18:08:41.244,27627.75,27642.75,27627.75,27642.75,17,0,0,0,0,0,0
2026-04-30 18:08:41.260,27628.5,27643.5,27628.5,27643.5,11,0,0,0,0,0,0
2026-04-30 18:08:42.480,27629.25,27644.25,27629.25,27644.25,53,0,0,0,0,0,0
2026-04-30 18:08:43.668,27630,27645,27630,27645,36,0,0,0,0,0,0
2026-04-30 18:08:43.672,27630.75,27645.75,27630.75,27645.75,15,0,0,0,0,0,0
2026-04-30 18:20:00.088,27631.5,27646.25,27616.5,27616.5,7815,0,-2,0,-2,0,0
2026-04-30 18:24:54.808,27630.75,27630.75,27615.75,27615.75,2137,0,0,0,-1,0,0
2026-04-30 18:24:58.580,27630,27630,27615,27615,60,0,0,-1,0,0,0
2026-04-30 18:25:21.752,27629.25,27629.25,27614.25,27614.25,314,0,0,-4,0,0,0
2026-04-30 18:25:22.948,27628.5,27628.5,27613.5,27613.5,16,0,0,0,0,0,0
2026-04-30 18:25:23.052,27627.75,27627.75,27612.75,27612.75,26,0,0,0,0,0,0
2026-04-30 18:33:57.840,27627,27627,27612,27612,2396,0,0,0,0,0,0
2026-04-30 18:33:58.904,27626.25,27626.25,27611.25,27611.25,30,0,0,0,0,0,0
2026-04-30 18:33:58.904,27625.5,27625.5,27610.5,27610.5,19,0,0,0,0,0,0
2026-04-30 18:36:54.516,27624.75,27624.75,27609.75,27609.75,945,0,0,0,0,0,0
2026-04-30 18:36:55.516,27624,27624,27609,27609,177,0,0,0,0,0,0
2026-04-30 18:36:55.516,27623.25,27623.25,27608.25,27608.25,15,0,0,0,0,0,0
2026-04-30 18:36:57.292,27622.5,27622.5,27607.5,27607.5,62,0,0,0,0,0,0
2026-04-30 18:36:57.292,27621.75,27621.75,27606.75,27606.75,18,0,0,0,0,0,0
2026-04-30 18:36:57.296,27621,27621,27606,27606,20,0,0,0,0,0,0
2026-04-30 18:36:57.300,27620.25,27620.25,27605.25,27605.25,19,0,0,0,0,0,0
2026-04-30 18:36:59.360,27619.5,27619.5,27604.5,27604.5,115,0,0,0,0,0,0
2026-04-30 18:36:59.360,27618.75,27618.75,27603.75,27603.75,15,0,0,0,0,0,0
2026-04-30 18:47:48.992,27618,27619.5,27603,27603,3857,0,0,0,0,0,0
2026-04-30 18:47:48.992,27617.25,27617.25,27602.25,27602.25,21,0,0,0,0,0,0
2026-04-30 18:47:48.992,27616.5,27616.5,27601.5,27601.5,32,0,0,0,0,0,0
2026-04-30 18:47:48.992,27615.75,27615.75,27600.75,27600.75,28,0,0,0,0,0,0
2026-04-30 18:47:48.992,27615,27615,27600,27600,47,0,0,0,0,0,0
2026-04-30 18:47:48.992,27614.25,27614.25,27599.25,27599.25,20,0,0,0,0,0,0
2026-04-30 18:47:50.532,27613.5,27613.5,27598.5,27598.5,163,0,0,0,0,0,0
2026-04-30 18:47:50.532,27612.75,27612.75,27597.75,27597.75,49,0,0,0,0,0,0
2026-04-30 18:47:50.536,27612,27612,27597,27597,25,0,0,0,0,0,0
2026-04-30 18:47:50.536,27611.25,27611.25,27596.25,27596.25,23,0,0,0,0,0,0
2026-04-30 18:47:50.536,27610.5,27610.5,27595.5,27595.5,24,0,0,0,0,0,0
2026-04-30 18:47:50.536,27609.75,27609.75,27594.75,27594.75,24,0,0,0,0,0,0
2026-04-30 18:47:50.536,27609,27609,27594,27594,28,0,0,0,0,0,0
2026-04-30 18:47:50.536,27608.25,27608.25,27593.25,27593.25,21,0,0,0,0,0,0
2026-04-30 18:51:50.896,27607.5,27607.5,27592.5,27592.5,2428,0,0,0,0,0,0
2026-04-30 18:51:51.896,27606.75,27606.75,27591.75,27591.75,38,0,0,0,0,0,0
2026-04-30 18:51:52.052,27606,27606,27591,27591,46,0,0,0,0,0,0
2026-04-30 18:51:52.104,27605.25,27605.25,27590.25,27590.25,33,0,0,0,0,0,0
2026-04-30 18:51:53.064,27604.5,27604.5,27589.5,27589.5,59,0,0,0,0,0,0
2026-04-30 18:51:53.612,27603.75,27603.75,27588.75,27588.75,43,0,0,0,0,0,0
2026-04-30 18:51:54.428,27603,27603,27588,27588,83,0,0,0,0,0,0
2026-04-30 18:51:54.428,27602.25,27602.25,27587.25,27587.25,11,0,0,0,0,0,0
2026-04-30 18:51:54.428,27601.5,27601.5,27586.5,27586.5,36,0,0,0,0,0,0
2026-04-30 18:51:54.428,27600.75,27600.75,27585.75,27585.75,42,0,0,0,0,0,0
2026-04-30 18:53:18.064,27600,27600,27585,27585,1307,0,0,0,0,0,0
2026-04-30 18:53:18.072,27599.25,27599.25,27584.25,27584.25,13,0,0,0,0,0,0
2026-04-30 18:53:18.072,27598.5,27598.5,27583.5,27583.5,7,0,0,0,0,0,0
2026-04-30 18:53:18.084,27597.75,27597.75,27582.75,27582.75,18,0,0,0,0,0,0
2026-04-30 18:53:18.304,27597,27597,27582,27582,50,0,0,0,0,0,0
2026-04-30 18:53:18.304,27596.25,27596.25,27581.25,27581.25,7,0,0,0,0,0,0
2026-04-30 18:53:18.612,27595.5,27595.5,27580.5,27580.5,26,0,0,0,0,0,0
2026-04-30 18:53:18.636,27594.75,27594.75,27579.75,27579.75,73,0,0,0,0,0,0
2026-04-30 18:53:19.132,27594,27594,27579,27579,62,0,0,0,0,0,0
2026-04-30 18:53:19.132,27593.25,27593.25,27578.25,27578.25,5,0,0,0,0,0,0
2026-04-30 18:53:19.132,27592.5,27592.5,27577.5,27577.5,11,0,0,0,0,0,0
2026-04-30 18:53:37.848,27591.75,27591.75,27576.75,27576.75,487,0,0,0,0,0,0
2026-04-30 18:53:37.848,27591,27591,27576,27576,11,0,0,0,0,0,0
2026-04-30 18:53:38.336,27590.25,27590.25,27575.25,27575.25,44,0,0,0,0,0,0
2026-04-30 18:53:38.432,27589.5,27589.5,27574.5,27574.5,31,0,0,0,0,0,0
2026-04-30 18:53:38.516,27588.75,27588.75,27573.75,27573.75,8,0,0,0,0,0,0
2026-04-30 18:53:39.292,27588,27588,27573,27573,73,0,0,0,0,0,0
2026-04-30 18:53:39.292,27587.25,27587.25,27572.25,27572.25,17,0,0,0,0,0,0
2026-04-30 18:53:39.292,27586.5,27586.5,27571.5,27571.5,12,0,0,0,0,0,0
2026-04-30 18:53:39.292,27585.75,27585.75,27570.75,27570.75,14,0,0,0,0,0,0
2026-04-30 18:53:43.404,27585,27585,27570,27570,255,0,0,0,0,0,0
2026-04-30 18:53:43.736,27584.25,27584.25,27569.25,27569.25,39,0,0,0,0,0,0
2026-04-30 18:53:43.828,27583.5,27583.5,27568.5,27568.5,28,0,0,0,0,0,0
2026-04-30 18:53:43.828,27582.75,27582.75,27567.75,27567.75,6,0,0,0,0,0,0
2026-04-30 18:53:46.772,27582,27582,27567,27567,118,0,0,0,0,0,0
2026-04-30 18:56:55.424,27581.25,27581.25,27566.25,27566.25,2232,0,0,0,0,0,0
2026-04-30 18:57:27.976,27580.5,27580.5,27565.5,27565.5,507,0,0,0,0,0,0
2026-04-30 18:57:27.976,27579.75,27579.75,27564.75,27564.75,6,0,0,0,0,0,0
2026-04-30 18:57:28.048,27579,27579,27564,27564,46,0,0,0,0,0,0
2026-04-30 18:57:28.792,27578.25,27578.25,27563.25,27563.25,45,0,0,0,0,0,0
2026-04-30 18:57:28.792,27577.5,27577.5,27562.5,27562.5,12,0,0,0,0,0,0
